itemID,templateCreatedWith,templateEditedWith,templateDataVersion,sectionShadowUsed,sectionTextUsed,sectionBackground,numSections,flickr,google,arcgis,unsplash,linkedImage,youtube,vimeo,numMaps,uniqueMaps,numWebScenes,uniqueWebScenes,numImages,numVideos
aa4ea35c7d8d4792ac845f32b87b1cc4,1.1.3,1.2.0,1.0.0,true,light,,8,0,0,1,0,0,1,0,6,2,0,0,7,1
71e29fe13b3645a9b82ffa13774473d8,1.1.3,1.2.0,1.0.0,true,light,,6,0,0,0,0,1,0,0,0,0,0,0,3,0
7e9b60e8248448ad81d82f9b66113554,1.1.3,1.1.3,1.0.0,false,light,dark,22,0,0,1,0,1,0,0,10,1,0,0,48,0
1198126c52e04865aa022452dfcd089f,1.1.3,1.1.3,1.0.0,false,dark,light,6,1,0,0,0,0,0,1,0,0,0,0,1,1
1b4af54b6799437a8e582763c3cb21df,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,3,0,0,0,0,1,0,0,0,0,0,0,7,0
5502cb41be42457183aa561afe8e2ae5,1.1.3,1.1.3,1.0.0,true,light,,11,0,1,1,0,0,0,0,1,1,0,0,23,0
28a062e1992d4f1ea022f5b9fc46a71d,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,7,0,0,1,0,1,0,0,17,2,0,0,69,0
c03a4cb06222465098a7b66f26965e6b,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,6,0,0,1,0,0,0,0,2,2,0,0,12,0
7d9ba800f9fa4479bdc14f7446bde6b5,1.1.3,1.1.3,1.0.0,false,dark,light,3,0,0,1,0,0,0,0,4,4,0,0,19,0
b95bd80065b74672ae1c640eab21a9db,1.1.3,1.1.3,1.0.0,true,dark,,3,0,0,1,0,0,0,0,0,0,0,0,2,0
ebf7590c943a48f69a56b762f2a49343,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,10,1,0,1,0,0,0,0,0,0,0,0,9,0
0ca27d5c759641c6b5354bf4850254ce,1.1.3,1.2.0,1.0.0,false,dark,light,8,0,0,1,0,0,0,0,2,1,0,0,7,0
12319b94057846c898df068b83ac64ba,1.1.3,1.1.3,1.0.0,true,dark,,3,0,0,0,0,0,0,1,0,0,0,0,0,1
193cb4ca6af247b392985be978255d83,1.1.3,1.1.3,1.0.0,false,dark,light,2,0,0,1,0,0,0,0,0,0,0,0,8,0
c2aeb4c5f4a64822b45d6618fc8b4a86,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,13,0,0,1,0,0,0,0,2,1,0,0,17,0
b00b0a86197a4985986d08dbc613a5bb,1.1.3,1.2.0,1.0.0,true,light,,7,0,0,1,0,0,0,0,0,0,0,0,5,0
541a0b94dad34252b58c9bb33ff3f245,1.2.0,1.6.2,1.0.0,false,light,dark,25,0,0,1,0,1,0,0,13,1,0,0,20,0
bdf2aef0f45a4674ba41cd373fa23afc,1.1.3,1.1.3,1.0.0,false,light,dark,14,0,0,1,0,1,0,0,4,1,0,0,19,0
c552e6603ee748f5bba664220c297b30,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,6,1,0,0,0,0,0,0,5,5,0,0,14,0
0307867da85c4068aa91bddfb95a1b35,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,9,0,0,1,0,1,0,0,0,0,0,0,8,0
e823f54213ae45f18eef2a7c7923d752,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,12,0,0,1,0,0,0,0,0,0,0,0,15,0
a98709778b41419cb53624e251e1b91f,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,0,0,0,0,1,0,0,7,6,0,0,1,0
582068c5c2f74c46bd4590fa875efad3,1.1.3,1.2.0,1.0.0,false,light,dark,12,0,0,1,0,0,0,0,0,0,0,0,51,0
